,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
GTHOr,3.38146107555646e-06,3.57e-06,3.74976009265719e-06,2.42272618577171e-06,3.0090978023553e-06,2.211e-06,4.4171746973844105e-06,2.18815429366935e-06,3.34733142184354e-06,2.25506587632467e-06,2.6417664652784804e-06,3.58106120848861e-06,2.0705395668142702e-06,3.90075688358834e-06,2.26940319207733e-06,1.92084733254508e-06,3.92253288432801e-06,4.16987574954994e-06,4.69007176169397e-06,1.9557496984316504e-06,3.7968245301837897e-06,4.361e-06,2.5059041899213e-06,3.53170832816129e-06,1.87112375172211e-06,4.45479649717553e-06,3.7441933312293097e-06,3.494e-06,4.1251571913531096e-06,3.8555510574334604e-06,3.93774330267141e-06
FRUK,8.40333332764775e-07,4.1314843968264997e-07,3.29e-07,3.65283626210576e-07,8.10141716018735e-07,4.36190405218252e-07,3.8707200956461297e-07,,1.05e-07,3.8725643831531e-07,7.74918163148355e-07,3.3126912818571503e-07,4.57767181719913e-07,1.6907305377782302e-07,8.554291411377949e-07,4.4708186632500294e-07,2.1791849357377802e-07,3.27660956933765e-07,3.72593743557998e-07,4.79e-07,3.20214117003453e-07,2.97341680074635e-07,6.89375249034576e-07,4.26498675222867e-07,3.82549735110059e-07,5.19425664447997e-07,3.6431938964755296e-07,1.9844255138242101e-07,2.3012950193227202e-07,8.38089361249866e-06,2.70171067078656e-07
GTHRDHpp,2.15366866121751e-06,8.315936542330271e-07,8.951040221181679e-07,,1.53977245404803e-06,3.8053636620751703e-07,9.60849341389804e-07,,6.69466284368709e-07,4.0059753636335896e-07,1.65047504878351e-06,8.763955416558778e-07,3.61116025794066e-07,8.574419155875309e-07,1.51461277342633e-06,,1.29958665258544e-06,8.58159649112243e-07,1.08705184976199e-06,,1.06356831719004e-06,8.005352925086309e-07,1.097e-06,7.74431805009943e-07,2.63397285320589e-07,4.6892594707110796e-07,6.63710571239107e-07,6.095021221031511e-07,3.5378117461229794e-07,4.93e-07,3.03942450463488e-07
PRPPS,1.41296766371466e-05,1.67378085820151e-05,1.7171482024310097e-05,1.4642593735568699e-05,1.64795908072134e-05,1.4803588690159198e-05,2.3401918319441698e-05,1.58363714512085e-05,2.4148917800201998e-05,1.67367384241389e-05,1.66003572741976e-05,2.03374085025407e-05,1.68032763866224e-05,3.14838179427703e-05,1.5241734520625799e-05,1.62911919107064e-05,3.3143421795357394e-05,3.81256927746503e-05,3.00110816331818e-05,1.62976927419978e-05,3.00353217603596e-05,2.4927144179590196e-05,1.60870997895149e-05,2.5717121872648998e-05,1.6486510616031602e-05,2.72049191754638e-05,2.49612888748621e-05,2.6322e-05,3.02877902692354e-05,2.9919620198778198e-05,2.50178408114835e-05
23PDE9pp,1.47435728443161e-06,1.09113562275161e-06,1.079e-06,3.76937283070821e-07,1.4089421148151899e-06,1.42527338947723e-06,8.606659977377859e-07,9.858104961260981e-07,1.14640631702354e-06,1.4302294379836001e-06,1.258e-06,1.17831170911628e-06,5.4816870828742e-07,8.89646306783306e-07,7.9e-07,7.465200962073159e-07,1.0182736881538401e-06,1.11560754384592e-06,9.56451980885994e-07,7.93e-07,7.547904186509949e-07,1.01019929768946e-06,5.28353293055697e-07,9.240804629828791e-07,6.16675669424856e-07,7.286387792951071e-07,4.1842622969422e-07,4.74844676522222e-07,3.9843316752452997e-07,6.221921018609551e-07,6.0113062425001e-07
SDPDS,3.42171656455118e-07,2.0657421984132499e-07,2.46758406097441e-07,,3.7739520932549794e-07,2.0427314740874898e-07,1.82151533912759e-07,,2.23155428122903e-07,1.8321437827781101e-07,3.2200000000000005e-07,2.89336327149548e-07,1.4994901496241698e-07,2.1737964057148698e-07,3.42171656455118e-07,1.55935016167344e-07,1.86221258144865e-07,2.69150071767022e-07,2.2662918422599897e-07,1.7710787737550302e-07,2.2872436928818003e-07,1.71543276966135e-07,3.67331337076818e-07,2.99297315945872e-07,1.9455065131371698e-07,3.06605426931109e-07,3.35462408289331e-07,2.62227657183914e-07,4.46519929122318e-07,3.2299999999999997e-07,1.5872550190871e-07
LPLIPAL1G161pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
FTHFD,2.59144710403508e-06,3.99376825026562e-06,4.64486411477536e-06,3.01594032181815e-06,3.3361736504374e-06,2.8294362358452802e-06,4.29422241199329e-06,2.9432379487396597e-06,4.9838045614115e-06,3.31258735773559e-06,2.9185229521171797e-06,5.05290252485805e-06,3.54892503629718e-06,4.08593213296405e-06,4.2117305360725506e-06,3.6444792764518e-06,5.33305986091464e-06,6.53761623596418e-06,5.95381755169996e-06,3.93823595945907e-06,5.1729999999999994e-06,5.27209671209256e-06,4.46835927841389e-06,6.63691798109971e-06,4.7017690882708e-06,7.89959864681328e-06,6.388214248176401e-06,8.164493542591051e-06,7.663e-06,7.928699352676221e-06,1.002e-05
AGPAT120,,2.0127744497359897e-07,2.46758406097441e-07,,,5.37006335926694e-08,1.36613650434569e-07,,1.09389915746521e-07,,,2.9352960725316503e-07,,1.85175249375711e-07,,5.344605160896481e-08,1.0300000000000001e-07,1.13121044655705e-07,2.22788011611999e-07,,1.5248291285878699e-07,1.41e-07,,3.18e-07,,2.3446297353555398e-07,1.2624929344222098e-07,1.52375530525788e-07,1.44260284793364e-07,2.27797108331607e-07,1.5534836357022702e-07
GLUPRT,8.85620757883835e-07,8.95154952645742e-07,1.02090242522667e-06,1.09575408320091e-06,6.84343312910236e-07,1.180771982907e-06,1.0929092034765498e-06,1.31067320312361e-06,1.2251670563610398e-06,1.5388330124481e-06,9.81227544246294e-07,1.26637059129223e-06,1.51625476803693e-06,2.00472335193704e-06,1.64041117653483e-06,1.85521464918296e-06,1.31147311587128e-06,1.56419099679095e-06,1.7400511941419899e-06,2.30550365906577e-06,1.502e-06,1.66206375016078e-06,1.575e-06,1.70973591734079e-06,2.33228484753398e-06,1.4103849638831e-06,1.3634923691759898e-06,2.7321286984972598e-06,1.29147302576917e-06,2.108e-06,2.58351082893965e-06
TRPTRS,6.39055887791176e-06,3.25221976878394e-06,3.16915207831027e-06,6.7335120235884805e-06,6.617e-06,6.8335848177356595e-06,3.7477678102550203e-06,7.00263834056114e-06,4.0474268826212795e-06,6.727e-06,6.78808183173462e-06,3.58106120848861e-06,6.8160000000000005e-06,4.91519520625528e-06,6.8233053846050005e-06,6.73478525096179e-06,4.350445562618341e-06,4.431224369961401e-06,4.37509560734597e-06,7.2426544129847795e-06,5.230163911056391e-06,4.44487690983364e-06,7.36675448603371e-06,4.08540836266115e-06,7.67586316485605e-06,5.26279197520574e-06,4.52333182790131e-06,6.44229568595075e-06,6.42645221067582e-06,5.2699331031938906e-06,7.07848195746079e-06
DHNPA2r,,2.86e-07,4.741632117166511e-07,,,,3.4608791443424203e-07,5.479493167867011e-07,3.9380369668747603e-07,5.50249611822647e-07,,4.7384065170867995e-07,,2.6568622736515004e-07,,,4.00177597290029e-07,2.77e-07,1.38282214103999e-07,,6.17555797078087e-07,,,4.52687190368131e-07,,4.1842622969422e-07,5.05e-07,6.37851058014926e-08,2.23259964561159e-07,3.87595079847808e-07,1.65479778585677e-07
KDOPP,1.52970858179935e-06,6.515033087303329e-07,7.64467218890111e-07,,1.87188023825447e-06,1.0372870377699802e-06,1.266e-06,1.138e-06,7.744806034853691e-07,1.04012955073096e-06,1.97755089686561e-06,6.2479873543888e-07,1.06020796450364e-06,6.762922151112921e-07,1.9071037911248501e-06,9.146101444817421e-07,7.05263488293318e-07,1.0726995613903e-06,6.107464456259961e-07,1.02838598681878e-06,7.242938360792379e-07,6.70924816578662e-07,1.37371856194481e-06,7.9313788725656e-07,9.98747070410877e-07,1.1940000000000001e-06,1.24445732107333e-06,7.19354248761277e-07,1.06134352383689e-06,9.077884764856571e-07,6.956904977275389e-07
DHORD2,5.93768462672116e-07,1.25e-06,1.4853888367042e-06,1.1508872993997e-06,1.0013552887436501e-06,1.19187482404165e-06,2.6867351252132e-06,1.52681997910777e-06,2.691e-06,1.902e-06,1.5599001985453899e-06,2.0798669313938498e-06,2.19154071249469e-06,2.834e-06,1.80143313251371e-06,2.78158705422818e-06,3.78385747932651e-06,4.142570669805461e-06,3.39175541816198e-06,3.35129740292849e-06,3.915e-06,2.61126988270673e-06,2.72730937939226e-06,3.629e-06,4.012171666376081e-06,3.4339999999999996e-06,3.7658360672479796e-06,5.47488824796145e-06,4.07363566106976e-06,4.10034794996892e-06,3.71485217233152e-06
DHORD5,5.93768462672116e-07,1.25e-06,1.4853888367042e-06,1.1508872993997e-06,1.0013552887436501e-06,1.19187482404165e-06,2.6867351252132e-06,1.52681997910777e-06,2.691e-06,1.902e-06,1.5599001985453899e-06,2.0798669313938498e-06,2.19154071249469e-06,2.834e-06,1.80143313251371e-06,2.78158705422818e-06,3.78385747932651e-06,4.142570669805461e-06,3.39175541816198e-06,3.35129740292849e-06,3.915e-06,2.61126988270673e-06,2.72730937939226e-06,3.629e-06,4.012171666376081e-06,3.4339999999999996e-06,3.7658360672479796e-06,5.47488824796145e-06,4.07363566106976e-06,4.10034794996892e-06,3.71485217233152e-06
AGM4PH,4.2268263444455703e-07,,,,4.42810378941917e-07,2.62264704242816e-07,,2.53e-07,,2.67942920386249e-07,4.6799999999999996e-07,,,,4.5287425119059704e-07,,,,,,,,5.28353293055697e-07,,2.5928307814930303e-07,,,,,,
AGM4PA,,4.76709738095366e-07,2.46758406097441e-07,,,,4.5993262312971706e-07,,5.11944805693719e-07,,,8.38656020723328e-07,,4.870914168361089e-07,,,3.96215442861415e-07,5.03193612433997e-07,1.11394005805999e-06,,4.0407971907578503e-07,,,4.34e-07,,,3.03e-07,5.91784037158292e-07,2.50738114045609e-07,,2.9381103544803803e-07
ADSL2r_reverse,6.934e-06,3.5488391613766098e-06,4.00135689887419e-06,8.385602037194479e-06,7.0296147657029405e-06,8.39851924008256e-06,4.16216254990654e-06,9.15431356485866e-06,3.12417599372064e-06,9.552369074231481e-06,8.26747105229057e-06,4.57906187314937e-06,1.01787967664134e-05,6.0745532893032095e-06,9.11283632117968e-06,1.07052076863843e-05,5.57475128106011e-06,7.64932305413231e-06,5.86547058157796e-06,1.2121338859408301e-05,5.70286094091863e-06,5.7562299604192105e-06,1.11759301321591e-05,6.84268488581249e-06,1.3119191507642402e-05,7.63988581458929e-06,4.9778292842932995e-06,6.849811639682511e-06,5.24489178284446e-06,8.43189296511022e-06,7.5579999999999995e-06
PYNP2r_reverse,3.5520437101715796e-05,3.28294106301675e-05,2.65628166563716e-05,2.2526418154395998e-05,3.21993592596515e-05,2.1932644963923e-05,1.48817803206724e-05,1.72732668160177e-05,1.35862275357179e-05,1.55526165862201e-05,1.90358143583781e-05,1.9649710565547602e-05,1.3863866326625e-05,1.05912191545108e-05,1.6902273441658e-05,1.17277303700483e-05,1.47471387833019e-05,1.0274511435280199e-05,1.16233883299639e-05,9.56190725012285e-06,1.24235453251697e-05,9.55686656342447e-06,1.3083e-05,1.489e-05,8.380329587770971e-06,9.13323459987728e-06,1.14237574951862e-05,6.11628292296534e-06,1.3612000000000001e-05,8.31289447568326e-06,1.47783573692025e-05
GMPS2,7.079934126946339e-06,4.27979409312284e-06,5.35610893235033e-06,6.175e-06,8.569387219750971e-06,6.4214254645198505e-06,5.89715591042557e-06,7.842657697927789e-06,6.090830508766291e-06,8.44671333524906e-06,1.07834391144606e-05,6.17670159262731e-06,9.14021046336211e-06,6.60190019513404e-06,1.16237724472253e-05,9.954e-06,8.276940601374961e-06,9.5918844416682e-06,9.73737257648994e-06,1.12682694103851e-05,8.8363848001667e-06,6.4271547769978695e-06,1.62732814261155e-05,8.87790663424442e-06,1.26193366667927e-05,9.6490531416555e-06,1.05688694224488e-05,1.37137977473209e-05,1.11355200785735e-05,1.01760708244254e-05,1.1161442208687e-05
LPLIPAL1E161pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
AGMH,4.2268263444455703e-07,,,,4.42810378941917e-07,2.62264704242816e-07,,2.53e-07,,2.67942920386249e-07,4.6799999999999996e-07,,,,4.5287425119059704e-07,,,,,,,,5.28353293055697e-07,,2.5928307814930303e-07,,,,,,
AGMT,5.75150299012058e-06,5.14316839656222e-06,3.83685129480923e-06,1.4506214118727501e-06,5.57538522576869e-06,1.5821881224123998e-06,3.766e-06,1.486e-06,3.938e-06,1.4862296131386602e-06,6.25972853867892e-06,3.1868928787486498e-06,1.43845153190595e-06,3.69545388971527e-06,6.289920155424961e-06,1.32252382880384e-06,4.40591572461893e-06,3.1088783651929903e-06,3.47242004305598e-06,1.2512115772754299e-06,8.45136544519827e-06,2.9696047279248797e-06,5.4395229504115096e-06,3.50926102946535e-06,1.21931870804359e-06,2.79191294640798e-06,3.0444115332924197e-06,4.54646059685083e-06,3.41416007344295e-06,3.1687597755978697e-06,2.30320834684554e-06
IDOND2,,7.57438806084859e-07,6.67699216498957e-07,,,,4.6448641147753494e-07,,5.644519652520489e-07,,,6.29e-07,,6.88368861809708e-07,,,5.705502377204371e-07,3.9787401913385796e-07,3.07524279476838e-05,,7.0523347197189e-07,,,5.724061167464799e-07,,,8.69316563416439e-07,9.709999999999999e-07,6.972580431679271e-07,,7.73364679512653e-07
ACOAD2f,1.4039101786908501e-06,1.838e-06,2.1482496530836e-06,1.67759389065172e-06,1.48945309280463e-06,1.2812911425931e-06,5.05470506607906e-07,6.97507135919574e-07,1.36081055188672e-06,1.4683692930707898e-06,1.07683433060875e-06,2.2182451748132003e-06,9.97333305506827e-07,1.62229620648721e-06,6.49119760039856e-07,1.02218213394597e-06,7.409228781508459e-07,5.5e-07,8.37375629851995e-07,6.215349452553279e-07,4.49824592933422e-07,1.10168904540474e-06,2.81788422963038e-07,1.5563460429185301e-06,5.91191734760692e-07,4.3285472037333097e-07,5.122114191084409e-07,3.04751061051576e-07,1.7517320296337098e-07,6.69791497631739e-07,4.9643933575703e-07
FE3Ri,1.09193013898177e-06,2.72783905687904e-06,2.95626247304973e-06,1.2460545277233e-06,1.28314371170669e-06,1.19738564529408e-06,3.26051245703839e-06,1.27086493963477e-06,2.75225028018247e-06,1.25907404052842e-06,1.28817564783103e-06,2.73821190766167e-06,1.25238043983038e-06,3.04734051690028e-06,1.13218562797649e-06,1.2618829624943701e-06,2.9597293581747698e-06,3.40143279102671e-06,3.13055568040998e-06,1.1155114554681002e-06,2.74088035863669e-06,2.84380632481638e-06,1.12715369185215e-06,2.98923194300939e-06,1.0203323773722e-06,2.76666308771954e-06,3.66122950982442e-06,2.27854572390887e-06,3.14968288465512e-06,2.822e-06,2.47544240210819e-06
DDGLK,6.29e-07,1.08583884788389e-06,1.316e-06,1.7838454811025e-07,6.49119760039856e-07,2.1282890492403e-07,1.70767063043212e-06,2.0199999999999998e-07,2.3978269531637403e-06,,5.78672654299096e-07,1.4718413163694402e-06,,2.045e-06,5.38417165304377e-07,,2.195e-06,1.096103915457e-06,1.97052155098199e-06,,1.826e-06,1.41427901676525e-06,4.98161676309657e-07,1.721e-06,,2.0849169031315397e-06,2.3843080847231005e-06,1.93835849296758e-06,2.4283814606883e-06,1.5367804920281499e-06,2.158e-06
G6PDH2r_reverse,6.8283373207293404e-06,4.873e-06,4.18037770329782e-06,6.21527027364754e-06,6.65221955637744e-06,6.45374813930355e-06,5.45543844068713e-06,6.16771518231747e-06,2.7347478936630297e-06,5.85539004363417e-06,5.99806786021324e-06,3.4217165645511797e-06,5.95078203284581e-06,4.01749780167303e-06,5.515e-06,5.707999999999999e-06,3.34009618332173e-06,3.3975320653489202e-06,4.29058980983797e-06,5.70747042833653e-06,4.46393727394099e-06,3.7587038019691004e-06,5.4244271420384905e-06,3.73e-06,5.50820127796296e-06,6.39542849351596e-06,4.65679536668308e-06,4.37282336439121e-06,5.3651086868389294e-06,5.16453444113001e-06,6.24432878785544e-06
PRFGS,5.197999999999999e-06,6.4567685637583394e-06,7.102771375510651e-06,3.5236760467235e-06,6.2094091774355206e-06,3.41743913546194e-06,7.1494477060757905e-06,3.7496412798207495e-06,6.292107953739891e-06,3.6915380911936096e-06,7.0245828295786e-06,7.2543745792567905e-06,3.7378491548783997e-06,1.09011864197701e-05,7.68879839799147e-06,3.92918798082383e-06,8.2056218216599e-06,7.462088221598731e-06,7.52485715082596e-06,4.4210000000000005e-06,7.88336659479928e-06,6.72449645707251e-06,9.66634929485708e-06,8.54867958670396e-06,4.5801653716768e-06,6.2078581146875195e-06,4.7541876787670795e-06,8.70312332491476e-06,5.86658491493015e-06,8.180296158893221e-06,6.3659057680408304e-06
PSCVT,2.0127744497359903e-06,1.95980670105872e-06,2.15308805320316e-06,1.7142335858796e-06,1.99767864136297e-06,1.82135097201322e-06,3.94358070921123e-06,1.71336702937507e-06,2.78725505322136e-06,1.86874566413368e-06,2.24927544757997e-06,2.3146906171963903e-06,1.91786259068275e-06,4.098e-06,2.65183033752716e-06,2.10754651383891e-06,3.05085891003289e-06,3.55356109246024e-06,4.92438329114797e-06,2.36114560502016e-06,4.38769581751159e-06,3.15258422335542e-06,3.52738722316232e-06,2.98923194300939e-06,2.72742243523332e-06,5.89043131974708e-06,7.409e-06,7.285676529326041e-06,8.769e-06,5.58952904622629e-06,7.1156304791841e-06
ADNK1,1.68821456971606e-05,1.19971950754e-05,1.23863043060676e-05,2.2099096313156303e-05,2.20751037774794e-05,2.08942633782962e-05,1.29008823893712e-05,2.25584621489621e-05,1.76424056115989e-05,2.3126136261856303e-05,1.8255864259105397e-05,1.3032714562040499e-05,2.23551918818397e-05,2.07235257344817e-05,1.7174000000000002e-05,2.12536826419599e-05,1.8527e-05,2.2928465534007998e-05,1.4531155998761902e-05,2.0820168349126198e-05,1.40093676189011e-05,1.52978482325578e-05,1.9996914158127e-05,1.1811e-05,2.4491e-05,1.67478705557781e-05,2.4625826466572698e-05,1.87209285527381e-05,1.7977579300201603e-05,1.5153607639313e-05,1.593e-05
3OAR60,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
CRNCAR,,5.8264523544989094e-08,1.69344004184518e-07,,,,,,5.2507159558330095e-08,,,1.51e-07,,,,,6.33944708578264e-08,8.581596491122429e-08,,,,,,1.04754060581055e-07,,,,2.09073402349337e-07,6.52606050255696e-08,,
CRNCAR_reverse,,5.8264523544989094e-08,1.69344004184518e-07,,,,,,5.2507159558330095e-08,,,1.51e-07,,,,,6.33944708578264e-08,8.581596491122429e-08,,,,,,1.04754060581055e-07,,,,2.09073402349337e-07,6.52606050255696e-08,,
DXPS,5.53512973677397e-07,1.356e-06,1.26766083132411e-06,7.321576939217871e-07,5.43449101428717e-07,6.93525361785845e-07,1.02e-06,6.87583219967725e-07,9.188752922707769e-07,7.559999999999999e-07,5.03193612433997e-07,1.26637059129223e-06,6.74e-07,1.23986906103737e-06,3.9752295382285793e-07,6.5e-07,1.2877001892996001e-06,1.24433149121275e-06,1.21765171863799e-06,7.1648160234431e-07,1.15505806490531e-06,1.1131252638691401e-06,3.47203592579458e-07,1.2233777789287501e-06,5.55350899129748e-07,7.9e-07,5.44675523136441e-07,1.056e-06,4.9117192203455e-07,1.0097871817087601e-06,8.409074462823171e-07
ICDHyr_reverse,5.97039221152937e-05,8.09029393296512e-05,0.0001074173,0.0001596741,8.653923746639879e-05,0.0001595223,9.914963369706259e-05,0.00016686400000000002,0.0001315042,0.0001660671,9.064026540773579e-05,0.0001150343,0.0001505742,0.0001426856,7.36323213074668e-05,0.0001379225,0.0001172283,0.0001096923,0.00012187270000000001,0.0001241363,9.374268275276071e-05,0.0001282839,6.92595688154153e-05,0.0001142268,0.0001145609,0.00011622870000000001,0.0001350831,0.0001193136,9.7015e-05,8.05755771694141e-05,0.00010050030000000001
PRMICI,,2.998e-06,4.04974090006976e-06,9.3689251655173e-07,,1.01133585339508e-06,3.52007839286407e-06,1.24390243341149e-06,3.0191616746039797e-06,1.0995557170415599e-06,,3.70685961159711e-06,1.248e-06,5.29359680280565e-06,,1.3132725859748502e-06,4.02158674504336e-06,3.838314066938391e-06,4.559471892817971e-06,1.19233767321556e-06,6.22511491745998e-06,3.5642880880741403e-06,,3.7000630683808402e-06,1.4269999999999998e-06,2.70534200233332e-06,4.54136744125019e-06,7.5160000000000005e-06,3.5962028137774398e-06,3.6515536469872496e-06,5.00829615597059e-06
DBTS,3.9752295382285793e-07,6.303162092594279e-07,8.22528020324802e-07,5.7467767119567e-07,,6.60541967392486e-07,7.65e-07,5.23e-07,1.37831293840617e-06,5.802986587023479e-07,5.58544909801737e-07,9.60261143728211e-07,7.675280265679841e-07,8.41339719989643e-07,4.880978040609771e-07,6.172686425075e-07,1.0143115337252199e-06,6.397190111563989e-07,8.18169766781995e-07,6.06895784729834e-07,7.7e-07,6.099316514351479e-07,6.29e-07,1.14107101704364e-06,6.85853004276028e-07,1.0063872248679899e-06,2.22920180992265e-06,1.5591914751476e-06,1.46664622873254e-06,7.20790850243293e-07,2.04654583312082e-06
