,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
EDD,,,,,,,,5.858233003705268e-08,7.439040183819905e-08,5.6762971755563544e-08,6.742794406615558e-08,8.103513800239158e-08,7.04269779962622e-08,9.11691734024116e-08,5.0475390270511e-08,3.817568608286946e-06,7.946265796353533e-08,,6.466692632655491e-08,1.2412109106705255e-07,,1.4420749336620774e-07,1.0865890736757334e-07,,1.2500477559895564e-07,,,,,
GLUTRS,7.008949196581444e-06,7.016446685902075e-06,7.570795704828107e-06,7.82532657524969e-06,7.669749282074764e-06,7.96695631733182e-06,8.637812230846627e-06,2.159706984566715e-06,2.4577379167311077e-06,2.61845106893765e-06,3.1834215720889573e-06,2.6382021771904094e-06,3.357831103516558e-06,3.5244354181130006e-06,3.314524622925704e-06,3.502361983582107e-06,3.625795883048557e-06,3.0706627784220367e-06,3.0234266613562106e-06,4.239884128510169e-06,3.9026903013393445e-06,4.53719403842467e-06,4.171595263981828e-06,3.6992890410316628e-06,3.886714742376931e-06,7.968322449698557e-06,8.619505303549393e-06,9.430351490625535e-06,9.503868077402143e-06,1.0538585102650171e-05
FRUK,3.65283626210576e-07,4.3619040521825183e-07,,3.872564383153105e-07,4.577671817199134e-07,4.470818663250029e-07,4.790157958788512e-07,2.0646828434397044e-07,1.6375565204642906e-07,1.9431014880143574e-07,5.2047721912194726e-08,1.6498460567679673e-07,8.395282229848804e-08,1.0872151752117222e-07,1.6334288775715984e-07,1.8585513692838883e-07,1.5923028175278824e-07,1.4773688219605717e-07,2.1369828358535247e-07,1.8223183727717221e-07,2.588290871699028e-07,1.0001858951372932e-07,1.1422323263817455e-07,4.18995381250742e-06,1.3429190602978446e-07,8.422454684920239e-07,8.082295802914858e-07,7.769309375980911e-07,8.53315727965572e-07,6.873121552235964e-07
GTHRDHpp,,3.805363662075169e-07,,4.005975363633589e-07,3.611160257940662e-07,,,4.170945369591062e-07,4.465843310351722e-07,4.792862236079472e-07,3.345143623528614e-07,4.3874289724140905e-07,4.286203190712785e-07,6.501697309634387e-07,4.2995748783362257e-07,5.429881607150366e-07,5.321463055130591e-07,4.0104912118271697e-07,3.8729072683395794e-07,3.3185528561955347e-07,2.3473350773578753e-07,3.050877046655279e-07,1.776462364169714e-07,2.457318806666698e-07,1.5230893906559236e-07,2.155832393750973e-06,1.5417852284977663e-06,1.6525884619557325e-06,1.5148643702325476e-06,1.0978678236084945e-06
PRPPS,1.46425937355687e-05,1.4803588690159217e-05,1.5836371451208515e-05,1.673673842413889e-05,1.6803276386622375e-05,1.629119191070636e-05,1.6297692741997785e-05,8.369857710483718e-06,8.585232980142518e-06,1.1701073004429555e-05,1.2074830825814532e-05,1.0168767150471906e-05,1.574178820491817e-05,1.657115619605867e-05,1.906296340909547e-05,1.5005348757960206e-05,1.5017050948528344e-05,1.2463724572707956e-05,1.2858467405913283e-05,1.2480608366204336e-05,1.3603108869812474e-05,1.316033792789834e-05,1.514429013301653e-05,1.4959283106078777e-05,1.250839694929931e-05,1.4130884301816472e-05,1.648054687507702e-05,1.660176621631237e-05,1.524208675615447e-05,1.608604308292877e-05
23PDE9pp,3.769372830708215e-07,1.425273389477232e-06,9.858104961260985e-07,1.430229437983602e-06,5.481687082874198e-07,7.465200962073157e-07,7.930202112665356e-07,5.455678113758072e-07,5.400622213450263e-07,4.300597715680241e-07,5.741876677534891e-07,5.895542161679815e-07,4.4480302564715586e-07,5.085425209126258e-07,5.577062537810131e-07,4.77419344194057e-07,3.7649937221245224e-07,5.055761579474153e-07,4.622834105606455e-07,2.0906882994031864e-07,3.638684993138311e-07,2.374754925159458e-07,1.9985201596909287e-07,3.105860574043622e-07,3.002444839828489e-07,1.4765210169650771e-06,1.408891795453948e-06,1.259996805534728e-06,7.894101391864542e-07,5.266424347734211e-07
SDPDS,,2.0427314740874914e-07,,1.8321437827781101e-07,1.499490149624171e-07,1.559350161673443e-07,1.7710787737550284e-07,1.0431998101986916e-07,1.232098590445359e-07,9.175883520855233e-08,1.1131517826365986e-07,1.4571648360067827e-07,1.096559520216166e-07,9.396249227458453e-08,1.3517964836356715e-07,1.127192103578293e-07,1.1474339192623718e-07,8.489486173412962e-08,1.5049043167403364e-07,1.675688836245256e-07,1.5321253539881015e-07,1.3033423285438316e-07,2.2394691829827022e-07,1.6076695921582125e-07,7.991997878020495e-08,3.396556883929479e-07,3.7643914146187305e-07,3.2063496984294284e-07,3.4202069837138766e-07,3.6894155663660646e-07
LPLIPAL1G161pp,,,,,,,,4.626468008215522e-07,3.9418445774036267e-07,3.2407034777253746e-07,3.78642254365008e-07,4.1922317835907363e-07,4.6799018730811436e-07,4.866119961502466e-07,2.4859324744510544e-07,3.7687665102260757e-07,3.7405964560671163e-07,3.907755849288562e-07,3.293205779516921e-07,5.51330664462181e-07,2.5991122397083623e-07,2.9782328983813574e-07,3.723804470445854e-07,2.5076381679100974e-07,3.4483959574251964e-07,1.032855208882022e-06,1.01861482965014e-06,9.784096600166634e-07,7.945930333945245e-07,7.467896402132946e-07
FTHFD,3.0159403218181502e-06,2.8294362358452836e-06,2.9432379487396576e-06,3.3125873577355922e-06,3.548925036297181e-06,3.644479276451798e-06,3.938235959459066e-06,1.9975462219912744e-06,2.3218514493733307e-06,2.1471339749383867e-06,2.492471108267632e-06,2.525675505609857e-06,2.0422213399356247e-06,2.6661535257866034e-06,3.2684375490426986e-06,2.977638598646641e-06,2.586129262449134e-06,2.636219899323245e-06,3.3185899331255795e-06,3.193602126914433e-06,3.950033786380178e-06,4.082902340438484e-06,3.830849036531215e-06,3.964196678280276e-06,5.010406867432139e-06,2.5925541299824387e-06,3.3381864248871353e-06,2.9187242295621552e-06,4.211277661821363e-06,4.465943949074209e-06
AGPAT120,,5.370063359266944e-08,,,,5.3446051608964835e-08,,1.0037388374341306e-07,1.243710750732297e-07,6.796529109119822e-08,5.368857064839254e-08,1.4733089644057067e-07,9.178251490796101e-08,5.182497992627306e-08,5.732116383502004e-08,1.1137479994292933e-07,7.645112043457428e-08,6.989435518164646e-08,1.5842181054659921e-07,6.325089601455292e-08,1.1762827026145259e-07,7.576253122421727e-08,7.233622851781551e-08,1.133205615028724e-07,7.728581087618805e-08,,,,,
GLUPRT,1.0957540832009113e-06,1.1807719829069957e-06,1.3106732031236138e-06,1.5388330124481e-06,1.5162547680369258e-06,1.8552146491829607e-06,2.3055036590657704e-06,4.481601215583208e-07,5.107415166205068e-07,5.470010563400156e-07,6.128241859951604e-07,6.323466396253895e-07,1.0019389933340772e-06,6.552610994042079e-07,7.819199657399754e-07,8.701216263863446e-07,7.517788811220344e-07,8.307269092546712e-07,8.554478472200413e-07,6.816740421346001e-07,7.047415916078289e-07,1.3654442162755624e-06,6.463547712479831e-07,1.0543096165386507e-06,1.2917891858532088e-06,8.838092608790721e-07,6.864567260824585e-07,9.824855282773789e-07,1.6392538312262315e-06,1.573939300332299e-06
MTRPOX,1.201768675028073e-06,1.28605725258414e-06,1.3406344501410574e-06,1.2236989891232362e-06,1.1620584271335376e-06,1.131915013775823e-06,1.1396368477980865e-06,7.052920575120933e-07,7.307919540579895e-07,8.219360278395863e-07,7.480519998410097e-07,7.639737020779159e-07,1.072003671929387e-06,8.974279780811047e-07,9.425128418942984e-07,8.829703487801747e-07,1.0170229080398945e-06,9.443266793344672e-07,7.620483785626828e-07,1.3768747942808667e-06,9.224314447289163e-07,1.4407992315460477e-06,1.173299809142602e-06,9.440320164082674e-07,1.1518236874147727e-06,1.3829270050523534e-06,1.6497202583648589e-06,1.4388318153937706e-06,1.371504510050102e-06,1.4950888612638917e-06
TRPTRS,6.733512023588479e-06,6.833584817735657e-06,7.002638340561135e-06,6.727045072314428e-06,6.815989107960533e-06,6.734785250961788e-06,7.2426544129847795e-06,1.6255007552821806e-06,1.5848905351629053e-06,1.874703587030116e-06,2.0230789797993097e-06,1.7899016122287632e-06,2.4579800302730904e-06,2.175401078258455e-06,2.215261119669699e-06,2.1877398623036865e-06,2.6151010158923028e-06,2.2226290585578926e-06,2.0429099482352876e-06,2.2615757358839084e-06,2.631720628643153e-06,3.221076970635595e-06,3.2137928421710275e-06,2.6342695604445848e-06,3.5390045790467004e-06,6.391313668330412e-06,6.618253987538144e-06,6.789088218959486e-06,6.8230034684375374e-06,7.368364705593503e-06
DHNPA2r,,,5.479493167867014e-07,5.502496118226472e-07,,,,1.4431063127120257e-07,2.3744448586729226e-07,1.724064268484264e-07,1.962017528829602e-07,2.3715095626003912e-07,1.3211851488067022e-07,1.9983125860715461e-07,1.3763710554057035e-07,6.821922562463958e-08,3.08530113805648e-07,,2.2606300395036627e-07,2.5287733476476957e-07,2.0964596956748308e-07,,1.1133802694230722e-07,1.9350854359243874e-07,8.280743205960808e-08,,,,,
KDOPP,,1.0372870377699761e-06,1.1379607180907108e-06,1.0401295507309594e-06,1.0602079645036427e-06,9.146101444817418e-07,1.0283859868187827e-06,3.270228803334208e-07,3.8129012142174163e-07,6.337507243659669e-07,3.8822481098440326e-07,3.1221067011477694e-07,3.3885057861305346e-07,3.524930687416577e-07,5.370519113171526e-07,3.0473942933168805e-07,3.6132732238300293e-07,3.3513838209950634e-07,3.963444706413206e-07,6.220843756298717e-07,5.963114841543096e-07,3.596771243806386e-07,5.299332866510524e-07,4.5352024299034344e-07,3.4860510498992833e-07,1.528500917129509e-06,1.8711757671970608e-06,1.9773496194206342e-06,1.908714010684637e-06,1.3716051487725887e-06
DHORD2,1.1508872993996982e-06,1.1918748240416534e-06,1.5268199791077666e-06,1.9019968974081202e-06,2.191540712494692e-06,2.781587054228176e-06,3.3512974029284948e-06,6.25125369889056e-07,7.435411383730238e-07,1.3428211080048596e-06,1.344555210406789e-06,1.0400802305005533e-06,1.4171944900591088e-06,1.8912155518661053e-06,2.0707392333078417e-06,1.69491741592749e-06,1.9566607378039537e-06,1.306568899194623e-06,1.8152195151294658e-06,1.8836935649979914e-06,1.7177298509615162e-06,2.7373023793011637e-06,2.0367663090045983e-06,2.050717968078983e-06,1.8567675441897559e-06,5.926614367247616e-07,1.002009440439818e-06,1.5580383821793843e-06,1.803345268240958e-06,2.728366085978375e-06
DHORD5,1.1508872993996982e-06,1.1918748240416534e-06,1.5268199791077666e-06,1.9019968974081202e-06,2.191540712494692e-06,2.781587054228176e-06,3.3512974029284948e-06,6.25125369889056e-07,7.435411383730238e-07,1.3428211080048596e-06,1.344555210406789e-06,1.0400802305005533e-06,1.4171944900591088e-06,1.8912155518661053e-06,2.0707392333078417e-06,1.69491741592749e-06,1.9566607378039537e-06,1.306568899194623e-06,1.8152195151294658e-06,1.8836935649979914e-06,1.7177298509615162e-06,2.7373023793011637e-06,2.0367663090045983e-06,2.050717968078983e-06,1.8567675441897559e-06,5.926614367247616e-07,1.002009440439818e-06,1.5580383821793843e-06,1.803345268240958e-06,2.728366085978375e-06
AGM4PH,,2.622647042428164e-07,2.529669686724479e-07,2.679429203862489e-07,,,,1.0201588395240822e-07,1.2388723506127395e-07,2.0250696782750986e-07,1.7686161577897527e-07,1.325915168763582e-07,1.8962348090962736e-07,1.8414112706984262e-07,1.8846356112208186e-07,1.6743671424425896e-07,1.9902832200893168e-07,1.6359510513337102e-07,1.4976089446641557e-07,2.3035085369200743e-07,2.386111646057985e-07,2.3191201384326004e-07,2.1146153412627313e-07,1.8701462602656756e-07,2.065120093982477e-07,4.2283359252828756e-07,4.428606983031607e-07,4.686242112597813e-07,4.525723350231368e-07,5.296112770867817e-07
AGM4PA,,,,,,,,2.386726755397463e-07,1.24564611078012e-07,2.290327849535554e-07,2.5634432856039743e-07,4.190135143538928e-07,2.435255806735571e-07,1.9783037062070446e-07,2.510702082504977e-07,5.563362355486865e-07,2.0219234245075145e-07,,2.1762656085714198e-07,1.5178772194424795e-07,,2.963172526178227e-07,1.2521449243195465e-07,,1.4638206128155434e-07,,,,,
ADSL2r_reverse,8.385602037194476e-06,8.398519240082559e-06,9.154313564858658e-06,9.552369074231481e-06,1.0178796766413355e-05,1.0705207686384255e-05,1.2121338859408301e-05,1.7750287097980933e-06,2.0007510254388864e-06,2.0818554189724012e-06,1.5611472435849014e-06,2.288587448551372e-06,3.0377597105195418e-06,2.7877520452007716e-06,3.824525001667432e-06,2.931928644540041e-06,2.850687116259129e-06,2.877676591835134e-06,3.4204632570406556e-06,2.489672137907305e-06,3.820628260601901e-06,3.4250121283509226e-06,2.6227893682907852e-06,4.2160994806129435e-06,3.7790684578377785e-06,6.935467240816535e-06,7.027903907420662e-06,8.266967858678134e-06,9.115201331158124e-06,1.1178295142137508e-05
PYDAMK,7.996021451376575e-07,6.886984971188887e-07,9.338684159925708e-07,8.519738631408317e-07,8.681354322915845e-07,7.992890935164559e-07,9.07284005986193e-07,2.685994535423998e-07,3.4531661653283034e-07,1.8866345125014015e-07,3.230721771657753e-07,3.832029022690067e-07,2.4302238706112316e-07,1.8608258273986356e-07,1.6496168891343975e-07,2.9158341312873817e-07,2.757653479051162e-07,1.5206358484842526e-07,4.400044666049247e-07,4.898292229424702e-07,3.102666564409335e-07,9.15847810799764e-08,3.4163926730885666e-07,1.3679726348839097e-07,1.492864002526499e-07,3.188737921994238e-07,,,4.283687222650615e-07,
GMPS2,6.175016795861326e-06,6.4214254645198505e-06,7.842657697927787e-06,8.446713335249058e-06,9.140210463362115e-06,9.95396084116271e-06,1.1268269410385129e-05,2.1407445305402546e-06,2.678610882188915e-06,2.9491699476980034e-06,3.045415254383146e-06,3.087449241091378e-06,3.301191630500988e-06,4.138866516130339e-06,4.796468818800603e-06,4.86958896380926e-06,4.4175252873395946e-06,3.2138251732323303e-06,4.4382237799145915e-06,5.2848314947180865e-06,4.8236969326137e-06,6.857731623652859e-06,5.567811560817035e-06,5.0881204111336974e-06,5.581531617544725e-06,7.077569116967896e-06,8.569638816557184e-06,1.0782835282125633e-05,1.1621558395330618e-05,1.6274992284397737e-05
LPLIPAL1E161pp,,,,,,,,4.626468008215522e-07,3.9418445774036267e-07,3.2407034777253746e-07,3.78642254365008e-07,4.1922317835907363e-07,4.6799018730811436e-07,4.866119961502466e-07,2.4859324744510544e-07,3.7687665102260757e-07,3.7405964560671163e-07,3.907755849288562e-07,3.293205779516921e-07,5.51330664462181e-07,2.5991122397083623e-07,2.9782328983813574e-07,3.723804470445854e-07,2.5076381679100974e-07,3.4483959574251964e-07,1.032855208882022e-06,1.01861482965014e-06,9.784096600166634e-07,7.945930333945245e-07,7.467896402132946e-07
AGMH,,2.622647042428164e-07,2.529669686724479e-07,2.679429203862489e-07,,,,1.0201588395240822e-07,1.2388723506127395e-07,2.0250696782750986e-07,1.7686161577897527e-07,1.325915168763582e-07,1.8962348090962736e-07,1.8414112706984262e-07,1.8846356112208186e-07,1.6743671424425896e-07,1.9902832200893168e-07,1.6359510513337102e-07,1.4976089446641557e-07,2.3035085369200743e-07,2.386111646057985e-07,2.3191201384326004e-07,2.1146153412627313e-07,1.8701462602656756e-07,2.065120093982477e-07,4.2283359252828756e-07,4.428606983031607e-07,4.686242112597813e-07,4.525723350231368e-07,5.296112770867817e-07
AGMT,1.4506214118727476e-06,1.5821881224123974e-06,1.4860128407219444e-06,1.4862296131386566e-06,1.438451531905945e-06,1.322523828803838e-06,1.251211577275425e-06,2.570286488438518e-06,1.917288623376517e-06,1.883856701609233e-06,1.967968340246212e-06,1.5940125321883118e-06,1.8467406853772659e-06,2.2031361592587543e-06,1.554185635427438e-06,1.7359603453080795e-06,4.225797084783777e-06,1.4844020963161831e-06,1.7543686295812201e-06,1.5224402296197483e-06,1.396190936177527e-06,2.2737264048038715e-06,1.7068052552266334e-06,1.5843968875831397e-06,1.1522627153987756e-06,5.753566083931564e-06,5.5747310740725204e-06,6.2608858839875195e-06,6.287555145446521e-06,5.4374095372392826e-06
IDOND2,,,,,,,,3.7752762869719085e-07,3.335351122417074e-07,2.322204367970286e-07,2.8124147338430567e-07,3.1546046219507987e-07,3.4432532511633537e-07,2.8436382334163744e-07,1.9868346239787312e-07,1.5375272886551474e-05,3.53341029822024e-07,,2.8607211579751356e-07,4.3442381873468385e-07,,4.848022402612332e-07,3.491270630433693e-07,,3.865979112978644e-07,,,,,
ACOAD2f,1.6775938906517176e-06,1.2812911425931043e-06,6.97507135919574e-07,1.4683692930707864e-06,9.973333055068272e-07,1.0221821339459745e-06,6.215349452553279e-07,9.187785685558012e-07,1.0730845705160962e-06,2.5371431779873423e-07,6.803396419939131e-07,1.1085355281920952e-06,8.115909136225447e-07,3.700256020882754e-07,2.7521570019597406e-07,4.1876463837827746e-07,2.2531256411296503e-07,5.506348586971869e-07,7.781356092947734e-07,2.5679106286147846e-07,2.1566986442601197e-07,1.5315512626336158e-07,8.81018167845189e-08,3.349127486000734e-07,2.4759489728589584e-07,1.4037089012458776e-06,1.4891511766371704e-06,1.079098701864706e-06,6.477611372862841e-07,2.8415343294147804e-07
FE3Ri,1.2460545277233006e-06,1.1973856452940823e-06,1.2708649396347654e-06,1.25907404052842e-06,1.2523804398303828e-06,1.2618829624943667e-06,1.1155114554680972e-06,1.3647405285440153e-06,1.4793166445541571e-06,1.6296186981504988e-06,1.3766939676531165e-06,1.3680995666059652e-06,1.5245357514635288e-06,1.4806571099731073e-06,1.7000142648913528e-06,1.56558513401411e-06,1.371221654246749e-06,1.4227799391571262e-06,1.4946720897514372e-06,1.8303261850986286e-06,1.3840529683937245e-06,1.1392374257845469e-06,1.5741544885904484e-06,1.4102170986304801e-06,1.2374679156787072e-06,1.091779180898043e-06,1.2843513763765336e-06,1.2867163863549733e-06,1.1296696599143228e-06,1.1246880431512262e-06
DDGLK,1.7838454811024986e-07,2.1282890492402989e-07,2.0196662652278097e-07,,,,,5.423897464551712e-07,6.587965602789712e-07,8.546549971186655e-07,1.1984321609525864e-06,7.356480949779856e-07,1.023294530245776e-06,1.0984478830168436e-06,5.472913162213328e-07,9.859137748353737e-07,9.122290261776929e-07,7.064533352747598e-07,8.613215570454792e-07,1.1930017161889459e-06,1.0429814843528885e-06,9.6855911351072e-07,1.2147918148641218e-06,7.678292531353493e-07,1.0796542411213865e-06,6.273314766214639e-07,6.504783827934278e-07,5.79628722162721e-07,5.389203589168106e-07,4.998725345919324e-07
G6PDH2r_reverse,6.215270273647535e-06,6.453748139303553e-06,6.167715182317473e-06,5.85539004363417e-06,5.950782032845813e-06,5.708023126046481e-06,5.707470428336528e-06,2.4378141489966828e-06,2.0897775876387475e-06,2.7274004551592193e-06,1.3672208009494681e-06,1.7099357606527937e-06,2.00848724015805e-06,1.6699688485722914e-06,1.6981614201944058e-06,2.1462167863463463e-06,2.2326929308065734e-06,1.8788753918818652e-06,1.8649402817409732e-06,2.329028929808752e-06,3.1978404960514226e-06,2.186039602411764e-06,2.6816956512480757e-06,2.5828622130121387e-06,3.122772278828646e-06,6.8280354045618765e-06,6.654232330827174e-06,5.997765944045783e-06,5.517115405448828e-06,5.4240245871485395e-06
PRFGS,3.523676046723503e-06,3.4174391354619433e-06,3.7496412798207474e-06,3.6915380911936135e-06,3.7378491548784047e-06,3.929187980823828e-06,4.421027186790705e-06,3.2278810882667354e-06,3.5512405357517373e-06,3.5758623001248505e-06,3.14531012544287e-06,3.627900147246009e-06,5.450794487330027e-06,4.103801449437104e-06,3.7319607813336433e-06,3.7623133402345566e-06,3.941168667568743e-06,3.362781918731257e-06,4.274807445408147e-06,2.3773283023570765e-06,3.103478167010036e-06,4.352040050750893e-06,2.9336702820204846e-06,4.089672085488902e-06,3.183780282913345e-06,5.198996403668056e-06,6.208553748294383e-06,7.023425484269999e-06,7.686684984819248e-06,9.665342907632212e-06
PSCVT,1.7142335858796e-06,1.8213509720132161e-06,1.7133670293750682e-06,1.868745664133675e-06,1.9178625906827517e-06,2.1075465138389084e-06,2.3611456050201597e-06,9.80274124770103e-07,1.0766649866045687e-06,1.9716537409551826e-06,1.3943276220714563e-06,1.156674383781614e-06,2.0482797910293302e-06,1.525726616598593e-06,1.7776972167643998e-06,2.462210851437054e-06,2.1934857618377573e-06,1.576501775682891e-06,1.4950836235608623e-06,3.7050019434221744e-06,2.9457206570473063e-06,3.643653296570483e-06,4.383863968749207e-06,2.794764523113144e-06,3.5585075529514405e-06,2.0102584816738174e-06,1.998483751142862e-06,2.248671615245045e-06,2.6497672437161845e-06,3.525777003602529e-06
